Item,Quantity,Price,Link
Seeed Studio XIAO RP2040 Microcontroller,1,$4.90,https://digikey.com
Gateron Mechanical Switches (Pack of 10),1,$3.50,https://aliexpress.com
Blank DSA Keycaps (Pack of 10),1,$4.60,https://aliexpress.com
0.91 inch I2C OLED Display Module,1,$2.10,https://aliexpress.com
EC11 Rotary Encoder with Switch and Knob,1,$2.50,https://aliexpress.com
WS2812B 5050 RGB LED Chips (Pack of 10),1,$2.90,https://aliexpress.com
Custom PCB Fabrication (5 Pack via JLCPCB),1,$2.00,https://jlcpcb.com
DHL/FedEx International PCB Shipping,1,$16.00,N/A
Estimated Component Shipping & Taxes,1,$6.50,N/A

